GENDER,CAR,INCOME_TYPE,EDUCATION_TYPE,FAMILY_TYPE,HOUSE_TYPE,FAMILY SIZE,AGE,INCOME,SOCIAL_STABILITY,SOCIAL_EXPOSURE,SOCIAL_QUALITY,LOAN_SOCIAL_VAR,LOAN_APPROVAL
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,50624,0.32,0.21,0.03,0.002016,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,41759,0.32,0.11,0.87,0.030624,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,49556,0.31,0.12,0.1,0.00372,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,23719,0.31,0.56,0.03,0.005208,0
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,33802,0.32,0.21,0.87,0.058464,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,35781,0.37,0.11,0.1,0.00407,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,39177,0.37,0.12,0.03,0.001332,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,44646,0.37,0.56,0.87,0.180264,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,25313,0.31,0.21,0.1,0.00651,0
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,28951,0.31,0.11,0.03,0.001023,0
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,30519,0.31,0.12,0.87,0.032364,1
F,N,State servant,Secondary / secondary special,Unmarried,House / apartment,3,44,56733,0.31,0.56,0.1,0.01736,1
F,N,State servant,Secondary / secondary special,Unmarried,House / apartment,3,44,56140,0.31,0.21,0.03,0.001953,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,46,39819,0.31,0.11,0.87,0.029667,1
F,N,Commercial associate,Higher education,Married,House / apartment,4,34,51907,0.31,0.12,0.1,0.00372,1
F,N,Commercial associate,Higher education,Married,House / apartment,4,34,49477,0.32,0.56,0.03,0.005376,1
F,N,Commercial associate,Higher education,Married,House / apartment,4,34,24457,0.31,0.21,0.87,0.056637,1
F,N,Commercial associate,Higher education,Married,House / apartment,4,34,53889,0.32,0.11,0.1,0.00352,1
F,N,Commercial associate,Higher education,Married,House / apartment,4,34,58154,0.32,0.12,0.03,0.001152,1
F,N,Commercial associate,Higher education,Married,House / apartment,4,34,44434,0.31,0.56,0.87,0.151032,1
F,N,Commercial associate,Higher education,Married,House / apartment,4,34,28355,0.31,0.21,0.1,0.00651,0
F,N,Commercial associate,Higher education,Married,House / apartment,4,34,34564,0.32,0.11,0.03,0.001056,1
F,N,Commercial associate,Higher education,Married,House / apartment,4,34,45258,0.37,0.12,0.87,0.038628,1
F,N,Commercial associate,Higher education,Married,House / apartment,4,34,31155,0.37,0.56,0.1,0.02072,1
F,N,Commercial associate,Higher education,Divorced,Rented apartment,1,47,46402,0.37,0.21,0.03,0.002331,1
F,N,Commercial associate,Higher education,Divorced,Rented apartment,1,47,21122,0.31,0.11,0.87,0.029667,0
F,N,Commercial associate,Higher education,Divorced,Rented apartment,1,47,59347,0.31,0.12,0.1,0.00372,1
F,N,Commercial associate,Higher education,Divorced,Rented apartment,1,47,53744,0.31,0.56,0.03,0.005208,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,54906,0.31,0.21,0.87,0.056637,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,44294,0.31,0.11,0.1,0.00341,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,20396,0.31,0.12,0.03,0.001116,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,59687,0.31,0.56,0.87,0.151032,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,59412,0.32,0.21,0.1,0.00672,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,47400,0.31,0.11,0.03,0.001023,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,49773,0.32,0.12,0.87,0.033408,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,42723,0.32,0.56,0.1,0.01792,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,36794,0.32,0.21,0.03,0.002016,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,20986,0.32,0.11,0.87,0.030624,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,36912,0.31,0.12,0.1,0.00372,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,21667,0.31,0.56,0.03,0.005208,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,52306,0.32,0.21,0.87,0.058464,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,53562,0.37,0.11,0.1,0.00407,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,20360,0.37,0.12,0.03,0.001332,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,46961,0.37,0.56,0.87,0.180264,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,43957,0.31,0.21,0.1,0.00651,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,21069,0.31,0.11,0.03,0.001023,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,55261,0.31,0.12,0.87,0.032364,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,59072,0.31,0.56,0.1,0.01736,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,39840,0.31,0.21,0.03,0.001953,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,23388,0.31,0.11,0.87,0.029667,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,28242,0.31,0.12,0.1,0.00372,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,48752,0.32,0.56,0.03,0.005376,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,57459,0.31,0.21,0.87,0.056637,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,25076,0.32,0.11,0.1,0.00352,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,47884,0.32,0.12,0.03,0.001152,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,42052,0.32,0.56,0.87,0.155904,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,37551,0.32,0.21,0.1,0.00672,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,48134,0.31,0.11,0.03,0.001023,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,20745,0.31,0.12,0.87,0.032364,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,38761,0.32,0.56,0.1,0.01792,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,29797,0.37,0.21,0.03,0.002331,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,48231,0.37,0.11,0.87,0.035409,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,34000,0.37,0.12,0.1,0.00444,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,34452,0.31,0.56,0.03,0.005208,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,46029,0.31,0.21,0.87,0.056637,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,31746,0.31,0.11,0.1,0.00341,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,38870,0.31,0.12,0.03,0.001116,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,24741,0.31,0.56,0.87,0.151032,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,56488,0.31,0.21,0.1,0.00651,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,44512,0.31,0.11,0.03,0.001023,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,42829,0.32,0.12,0.87,0.033408,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,42441,0.31,0.56,0.1,0.01736,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,55825,0.32,0.21,0.03,0.002016,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,55591,0.32,0.11,0.87,0.030624,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,29853,0.32,0.12,0.1,0.00384,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,56766,0.32,0.56,0.03,0.005376,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,58607,0.31,0.21,0.87,0.056637,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,53896,0.31,0.11,0.1,0.00341,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,43,44832,0.32,0.12,0.03,0.001152,1
F,N,Commercial associate,Higher education,Married,House / apartment,2,37,51037,0.37,0.56,0.87,0.180264,1
F,N,Commercial associate,Higher education,Married,House / apartment,2,37,47409,0.37,0.21,0.1,0.00777,1
F,N,Commercial associate,Higher education,Married,House / apartment,2,37,44741,0.37,0.11,0.03,0.001221,1
F,N,Commercial associate,Higher education,Married,House / apartment,2,37,33144,0.31,0.12,0.87,0.032364,1
F,N,Commercial associate,Higher education,Married,House / apartment,2,37,56328,0.31,0.56,0.1,0.01736,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,42,57396,0.31,0.21,0.03,0.001953,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,42,36148,0.31,0.11,0.87,0.029667,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,42,56341,0.31,0.12,0.1,0.00372,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,42,59979,0.31,0.56,0.03,0.005208,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,2,49,26027,0.31,0.21,0.87,0.056637,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,2,49,59046,0.32,0.11,0.1,0.00352,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,2,49,50348,0.31,0.12,0.03,0.001116,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,2,49,59037,0.32,0.56,0.87,0.155904,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,2,49,48715,0.32,0.21,0.1,0.00672,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,2,49,41101,0.32,0.11,0.03,0.001056,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,2,49,48795,0.32,0.12,0.87,0.033408,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,2,49,59440,0.31,0.56,0.1,0.01736,1
M,Y,State servant,Secondary / secondary special,Married,House / apartment,2,57,28515,0.31,0.21,0.03,0.001953,0
M,Y,State servant,Secondary / secondary special,Married,House / apartment,2,57,24559,0.32,0.11,0.87,0.030624,0
M,Y,State servant,Secondary / secondary special,Married,House / apartment,2,57,58418,0.37,0.12,0.1,0.00444,1
M,Y,State servant,Secondary / secondary special,Married,House / apartment,2,57,22765,0.37,0.56,0.03,0.006216,0
M,Y,State servant,Secondary / secondary special,Married,House / apartment,2,57,30696,0.37,0.21,0.87,0.067599,1
M,Y,State servant,Secondary / secondary special,Married,House / apartment,2,57,32925,0.31,0.11,0.1,0.00341,1
F,Y,Working,Secondary / secondary special,Divorced,House / apartment,1,45,43598,0.31,0.12,0.03,0.001116,1
F,Y,Working,Secondary / secondary special,Divorced,House / apartment,1,45,31960,0.31,0.56,0.87,0.151032,1
F,Y,Working,Secondary / secondary special,Divorced,House / apartment,1,45,45500,0.31,0.21,0.1,0.00651,1
F,Y,Working,Secondary / secondary special,Divorced,House / apartment,1,45,52757,0.31,0.11,0.03,0.001023,1
F,Y,Working,Secondary / secondary special,Divorced,House / apartment,1,45,28142,0.31,0.12,0.87,0.032364,0
F,Y,Working,Secondary / secondary special,Divorced,House / apartment,1,45,22830,0.31,0.56,0.1,0.01736,0
F,Y,Working,Higher education,Married,House / apartment,2,29,22294,0.32,0.21,0.03,0.002016,0
F,Y,Working,Higher education,Married,House / apartment,2,29,57654,0.31,0.11,0.87,0.029667,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,27,47567,0.32,0.12,0.1,0.00384,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,52,56860,0.32,0.56,0.03,0.005376,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,52,23313,0.32,0.21,0.87,0.058464,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,52,30506,0.32,0.11,0.1,0.00352,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,52,26691,0.31,0.12,0.03,0.001116,0
M,N,Working,Secondary / secondary special,Married,House / apartment,2,52,25110,0.31,0.56,0.87,0.151032,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,52,48875,0.32,0.21,0.1,0.00672,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,52,24234,0.37,0.11,0.03,0.001221,0
M,N,Working,Secondary / secondary special,Married,House / apartment,2,52,50700,0.37,0.12,0.87,0.038628,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,52,58917,0.37,0.56,0.1,0.02072,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,52,40204,0.31,0.21,0.03,0.001953,1
F,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,54,20489,0.31,0.11,0.87,0.029667,0
F,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,54,59034,0.31,0.12,0.1,0.00372,1
F,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,40,41510,0.31,0.56,0.03,0.005208,1
F,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,40,38223,0.31,0.21,0.87,0.056637,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,29,39307,0.31,0.11,0.1,0.00341,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,29,26760,0.31,0.12,0.03,0.001116,0
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,3,39,32120,0.32,0.56,0.87,0.155904,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,3,39,34112,0.31,0.21,0.1,0.00651,1
F,N,Working,Higher education,Married,House / apartment,2,48,50140,0.32,0.11,0.03,0.001056,1
F,N,Working,Higher education,Married,House / apartment,2,48,54698,0.32,0.12,0.87,0.033408,1
F,N,Working,Higher education,Married,House / apartment,2,48,26136,0.32,0.56,0.1,0.01792,0
F,N,Working,Higher education,Married,House / apartment,2,48,55649,0.32,0.21,0.03,0.002016,1
F,N,Working,Higher education,Married,House / apartment,2,48,38845,0.31,0.11,0.87,0.029667,1
F,N,Working,Higher education,Married,House / apartment,2,48,23779,0.31,0.12,0.1,0.00372,0
F,N,Working,Higher education,Married,House / apartment,4,30,24852,0.32,0.56,0.03,0.005376,0
F,N,Working,Higher education,Married,House / apartment,4,30,28272,0.37,0.21,0.87,0.067599,1
F,N,Working,Higher education,Married,House / apartment,4,30,21591,0.37,0.11,0.1,0.00407,0
F,N,Working,Higher education,Married,House / apartment,4,30,26539,0.37,0.12,0.03,0.001332,0
F,N,Working,Higher education,Married,House / apartment,4,30,43115,0.31,0.56,0.87,0.151032,1
M,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,24,32265,0.31,0.21,0.1,0.00651,1
M,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,24,48410,0.31,0.11,0.03,0.001023,1
F,Y,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,21,26395,0.31,0.12,0.87,0.032364,0
M,Y,Working,Secondary / secondary special,Unmarried,House / apartment,2,29,48390,0.31,0.56,0.1,0.01736,1
M,Y,Working,Secondary / secondary special,Unmarried,House / apartment,2,29,24222,0.31,0.21,0.03,0.001953,0
M,Y,Working,Secondary / secondary special,Unmarried,House / apartment,2,29,37119,0.31,0.11,0.87,0.029667,1
M,Y,Working,Secondary / secondary special,Unmarried,House / apartment,2,29,50538,0.32,0.12,0.1,0.00384,1
M,Y,Working,Secondary / secondary special,Unmarried,House / apartment,2,29,44894,0.31,0.56,0.03,0.005208,1
M,Y,Working,Secondary / secondary special,Unmarried,House / apartment,2,29,59563,0.32,0.21,0.87,0.058464,1
M,Y,Working,Secondary / secondary special,Unmarried,House / apartment,2,29,54406,0.32,0.11,0.1,0.00352,1
M,Y,Working,Secondary / secondary special,Unmarried,House / apartment,2,29,47602,0.32,0.12,0.03,0.001152,1
M,Y,Working,Secondary / secondary special,Unmarried,House / apartment,2,29,23516,0.32,0.56,0.87,0.155904,1
F,Y,Commercial associate,Incomplete higher,Unmarried,Municipal apartment,2,28,57754,0.31,0.21,0.1,0.00651,1
F,Y,Commercial associate,Incomplete higher,Unmarried,Municipal apartment,2,28,53105,0.31,0.11,0.03,0.001023,1
F,Y,State servant,Higher education,Married,House / apartment,3,49,31990,0.32,0.12,0.87,0.033408,1
F,Y,State servant,Higher education,Married,House / apartment,3,49,31757,0.37,0.56,0.1,0.02072,1
M,N,Working,Secondary / secondary special,Married,With parents,3,39,32332,0.37,0.21,0.03,0.002331,1
F,N,Working,Higher education,Unmarried,House / apartment,2,28,28318,0.37,0.11,0.87,0.035409,0
F,N,Working,Higher education,Unmarried,House / apartment,2,28,28659,0.31,0.12,0.1,0.00372,0
F,N,Working,Higher education,Unmarried,House / apartment,2,28,47100,0.31,0.56,0.03,0.005208,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,56,57655,0.31,0.21,0.87,0.056637,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,56,50164,0.31,0.11,0.1,0.00341,1
M,Y,Commercial associate,Higher education,Married,House / apartment,4,40,33966,0.31,0.12,0.03,0.001116,1
M,Y,Commercial associate,Higher education,Married,House / apartment,4,40,39671,0.31,0.56,0.87,0.151032,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,35,20197,0.31,0.21,0.1,0.00651,0
M,Y,Working,Higher education,Married,House / apartment,3,33,57352,0.32,0.11,0.03,0.001056,1
M,Y,Working,Higher education,Married,House / apartment,3,33,54317,0.31,0.12,0.87,0.032364,1
M,Y,Working,Higher education,Married,House / apartment,3,33,59648,0.32,0.56,0.1,0.01792,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,3,37,24697,0.32,0.21,0.03,0.002016,0
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,3,37,41034,0.32,0.11,0.87,0.030624,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,3,37,58780,0.32,0.12,0.1,0.00384,1
F,N,Working,Higher education,Divorced,House / apartment,1,36,23422,0.32,0.56,0.03,0.005376,0
F,N,Working,Higher education,Divorced,House / apartment,1,36,59682,0.31,0.21,0.87,0.056637,1
M,Y,Working,Secondary / secondary special,Married,With parents,4,35,23580,0.31,0.11,0.1,0.00341,0
M,Y,Working,Secondary / secondary special,Married,With parents,4,35,28593,0.32,0.12,0.03,0.001152,0
M,Y,Working,Secondary / secondary special,Married,With parents,4,35,41717,0.37,0.56,0.87,0.180264,1
M,Y,Working,Secondary / secondary special,Married,With parents,4,35,21518,0.37,0.21,0.1,0.00777,0
M,Y,Working,Secondary / secondary special,Married,With parents,4,35,48050,0.37,0.11,0.03,0.001221,1
M,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,42,54837,0.31,0.12,0.87,0.032364,1
M,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,42,53074,0.31,0.56,0.1,0.01736,1
F,N,Commercial associate,Higher education,Married,House / apartment,2,24,43592,0.31,0.21,0.03,0.001953,1
F,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,26,45509,0.31,0.11,0.87,0.029667,1
F,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,26,32531,0.31,0.12,0.1,0.00372,1
M,Y,Working,Higher education,Married,House / apartment,2,43,38043,0.31,0.56,0.03,0.005208,1
M,Y,Working,Higher education,Married,House / apartment,2,43,43463,0.31,0.21,0.87,0.056637,1
M,Y,Working,Higher education,Married,House / apartment,2,43,33294,0.32,0.11,0.1,0.00352,1
M,Y,Working,Higher education,Married,House / apartment,2,43,48761,0.32,0.12,0.87,0.033408,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,45951,0.32,0.56,0.1,0.01792,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,22166,0.32,0.21,0.03,0.002016,0
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,42623,0.31,0.11,0.87,0.029667,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,38808,0.37,0.12,0.1,0.00444,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,53874,0.37,0.56,0.03,0.006216,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,33339,0.37,0.21,0.87,0.067599,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,57572,0.31,0.11,0.1,0.00341,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,37168,0.31,0.12,0.03,0.001116,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,56394,0.31,0.56,0.87,0.151032,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,28429,0.31,0.21,0.1,0.00651,0
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,52800,0.31,0.11,0.03,0.001023,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,54,25935,0.32,0.12,0.87,0.033408,0
F,N,Working,Secondary / secondary special,Married,House / apartment,2,35,43570,0.31,0.56,0.1,0.01736,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,35,45797,0.32,0.21,0.03,0.002016,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,35,28166,0.32,0.11,0.87,0.030624,0
F,N,Working,Secondary / secondary special,Married,House / apartment,2,35,37228,0.32,0.12,0.1,0.00384,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,35,56084,0.31,0.56,0.03,0.005208,1
M,Y,Working,Incomplete higher,Married,Co-op apartment,2,50,48377,0.37,0.21,0.87,0.067599,1
M,Y,Working,Incomplete higher,Married,Co-op apartment,2,50,29726,0.37,0.11,0.1,0.00407,0
M,Y,Working,Incomplete higher,Married,Co-op apartment,2,50,31685,0.37,0.12,0.03,0.001332,1
M,Y,Working,Incomplete higher,Married,Co-op apartment,2,50,36825,0.32,0.56,0.87,0.155904,1
M,Y,Working,Incomplete higher,Married,Co-op apartment,2,50,50325,0.32,0.21,0.1,0.00672,1
M,Y,Working,Incomplete higher,Married,Co-op apartment,2,50,36436,0.31,0.11,0.03,0.001023,1
M,Y,Working,Incomplete higher,Married,Co-op apartment,2,50,24676,0.31,0.12,0.87,0.032364,0
F,N,Working,Higher education,Married,House / apartment,2,48,56769,0.32,0.56,0.1,0.01792,1
F,N,Working,Higher education,Married,House / apartment,2,48,33800,0.37,0.21,0.03,0.002331,1
F,N,Working,Higher education,Married,House / apartment,2,48,25272,0.37,0.11,0.87,0.035409,0
F,N,Working,Higher education,Married,House / apartment,2,48,22550,0.37,0.12,0.1,0.00444,0
